resub -z;rw;b;resub -z;resub -z;rw;b;rf;rf;rf;
resub;resub -z;resub -z;rf;resub -z;b;rw;rf;rw;rfz;
rwz;resub -z;b;resub;resub;b;rw;b;rfz;rw;
rw;rfz;rf;b;rfz;rwz;rw;rwz;b;rfz;
resub -z;b;resub -z;rf;b;rfz;rfz;resub -z;rf;resub -z;
b;resub -z;rfz;rw;resub;b;resub -z;rf;rf;resub;
rw;resub -z;b;resub -z;resub;rw;b;rf;rw;resub;
resub -z;b;rw;rf;b;rw;rw;rw;rf;rw;
resub;rf;resub -z;rw;rf;resub;resub;rf;resub -z;rw;
rw;resub -z;resub;rf;b;rw;rfz;resub -z;resub -z;rwz;
resub;rwz;rf;resub;resub -z;rfz;rfz;rfz;rw;rw;
resub -z;resub;b;rfz;rfz;b;rf;resub;rfz;rf;
resub -z;resub;rfz;rw;b;rw;rf;b;rf;resub;
rwz;b;rwz;rw;rwz;b;rwz;rfz;rw;rw;
rf;rw;rwz;resub;b;rfz;rfz;rwz;rwz;rw;
rw;rw;b;resub -z;rfz;rw;resub -z;rfz;rf;rw;
rfz;resub -z;rf;resub -z;rfz;b;resub;rw;b;rwz;
rfz;b;resub -z;rfz;rw;b;rfz;resub -z;rfz;rfz;
resub;rfz;resub;rw;rw;rw;rw;rf;rwz;resub;
resub -z;resub;resub;resub;b;rwz;rf;rf;rwz;rf;
b;rfz;rwz;rw;resub;rwz;rwz;rfz;rw;resub;
rw;resub;rf;resub;b;resub -z;rw;b;resub -z;rf;
resub -z;rf;b;rw;resub -z;rf;resub;resub;rw;b;
rfz;rw;rf;resub;resub -z;resub -z;b;rf;resub;b;
resub;rw;rw;resub;resub -z;rwz;resub -z;rfz;rwz;b;
resub;rw;rfz;rwz;b;b;rw;b;rfz;rwz;
rw;rf;rw;rf;resub;rw;rf;rfz;resub;rwz;
rwz;b;b;b;resub -z;rf;resub -z;resub;rw;rfz;
b;rfz;resub -z;rwz;resub -z;rw;b;rfz;rwz;rwz;
rfz;rw;rf;b;rw;rwz;resub -z;rwz;b;rwz;
resub;rwz;b;resub -z;rfz;resub -z;rfz;rf;rwz;rw;
rf;rwz;resub -z;rwz;rwz;rf;resub;resub;rw;resub -z;
resub -z;rwz;rfz;rwz;rf;rf;rw;rw;rfz;rwz;
b;rf;resub;resub;b;rw;rw;resub -z;rfz;rw;
rwz;rw;rw;b;b;rf;rfz;resub -z;b;resub -z;
b;resub;rfz;rwz;resub -z;resub -z;resub -z;b;resub;rf;
rwz;resub;resub -z;rf;rf;b;rwz;rwz;rw;rf;
resub;resub -z;rw;rf;rfz;resub;b;b;resub;resub -z;
rw;resub;b;b;rw;resub;b;rw;resub -z;b;
rf;rfz;rwz;b;resub -z;rf;resub -z;rw;b;resub -z;
rf;b;rw;rwz;rfz;rfz;resub -z;resub -z;rf;rw;
resub -z;resub;resub -z;rfz;rw;rw;b;rf;rf;rf;
rfz;resub;rwz;resub -z;rw;b;b;rf;rf;resub;
rfz;rfz;rf;resub;resub;rfz;rw;rfz;b;rw;
rwz;resub -z;resub;b;rwz;rwz;rf;b;rw;rfz;
rfz;rwz;rwz;rw;rwz;rwz;rfz;resub;rw;rwz;
b;rwz;rwz;resub -z;resub;resub;b;resub -z;b;rw;
resub -z;rfz;rw;b;rw;rwz;rfz;rwz;rwz;rwz;
resub;rwz;resub -z;rf;b;rfz;rf;b;rf;rwz;
resub -z;resub -z;rfz;rfz;rwz;rw;rfz;rwz;resub -z;rwz;
rw;resub -z;rw;rfz;b;rwz;resub -z;resub -z;resub -z;resub -z;
